neighborhood,latitude,longitude
vila sao jose,-23.589969999999937,-46.61656999999997
vila celeste,-23.57445999999993,-46.56774999999993
vila mara,-23.708654962810066,-46.65931493353999
agua rasa,-23.553369999999973,-46.580269999999985
vila lais,-23.51903999999996,-46.537489999999934
vila bonilha nova,-23.48918999999995,-46.71513999999996
maranhao,-2.466669999999965,-45.19999999999993
vila nivi,-23.478879999999947,-46.59116999999998
fazenda da juta,-23.61946999999998,-46.49121999999994
carandiru,-23.505159999999933,-46.613629999999944
jardim penha,-23.506119999999953,-46.49649999999997
pinheiros,-23.561999999999955,-46.68596999999994
vila amelia,-23.47094999999996,-46.654259999999965
vila america,-23.494279999999947,-46.70339999999993
parque munhoz,-23.650739999999928,-46.76617999999996
real parque,-23.609509999999943,-46.70601999999997
itaim bibi,-23.58669999999995,-46.67827999999997
parque residencial julia,-23.51903999999996,-46.69820999999996
paraiso,-23.57550999999995,-46.650259999999946
vila comercial,-23.472888372584663,-46.62508983769321
pedreira,-23.696769999999958,-46.63592999999997
campo limpo,-23.63878999999997,-46.767019999999945
vila mariza mazzei,-23.484139999999968,-46.63511999999997
vila mascote,-23.64552999999995,-46.667989999999975
vila diva,-23.49861999999996,-46.67083999999994
jardim guairaca,-23.600829999999974,-46.53932999999995
jardim germania,-23.654939999999954,-46.75831999999997
jardim luanda,-23.66758999999996,-46.68023999999997
jardim jau,-23.512569999999982,-46.54916999999995
jardim santo amaro,-23.62650999999994,-46.70785999999998
vila araguaia,-23.50920999999994,-46.522899999999936
vila santo estefano,-23.627669999999966,-46.624409999999955
chacara monte alegre,-23.643989999999974,-46.67755999999997
jardim boa vista,-23.582149999999956,-46.783199999999965
parque bairro morumbi,-23.600999999999942,-46.71550999999994
jardim america da penha,-23.51700999999997,-46.55472999999995
nucleo lageado,-23.529119999999978,-46.408559999999966
conjunto city jaragua,-23.45766999999995,-46.743709999999965
jardim amaralina,-23.601369999999974,-46.79851999999994
parque residencial da lapa,-23.51903999999996,-46.69820999999996
jardim imperador,-23.58600999999993,-46.500629999999944
vila matilde,-23.53782999999993,-46.52613999999994
vila anglo brasileira,-23.53908999999993,-46.69350999999995
jardim aurora,-23.53601999999995,-46.42003999999997
