,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
216,-23.54624999999993,-46.69407999999999,97.0,3.0,3.0,0.0,1.0,746.3300476121708
217,-23.47441999999995,-46.63478999999995,102.0,3.0,3.0,1.0,2.0,920.7299918356599
218,-2.4666699999999646,-45.19999999999993,69.0,3.0,1.0,0.0,1.0,432.9897184856992
219,-23.477769999999968,-46.643279999999955,51.0,2.0,1.0,0.0,1.0,336.93342068730124
220,-23.529099999999968,-46.66207999999993,122.0,3.0,2.0,0.0,2.0,947.9596905899856
221,-23.627009999999927,-46.73049999999995,195.0,4.0,4.0,2.0,3.0,1708.312715665572
222,-23.56199999999995,-46.685969999999934,267.0,3.0,5.0,3.0,5.0,2501.786233158726
223,-23.59835999999996,-46.643709999999935,73.0,2.0,2.0,1.0,2.0,702.1511077673997
224,-23.543269999999946,-46.64887999999996,200.0,3.0,4.0,1.0,1.0,1386.5302711796921
225,-23.55261999999993,-46.68551999999993,101.0,2.0,2.0,1.0,1.0,725.6641675044532
226,-23.54056999999995,-46.67235999999997,106.0,3.0,2.0,0.0,1.0,711.2491951185173
227,-23.535919999999976,-46.65774999999997,240.0,4.0,4.0,2.0,3.0,1923.4328934075247
228,-23.55220999999995,-46.534719999999936,171.0,4.0,2.0,1.0,2.0,1159.348379162926
229,-23.482539999999968,-46.61827999999997,137.0,3.0,2.0,1.0,1.0,877.8924713864776
230,-23.542769999999962,-46.619999999999955,72.0,3.0,2.0,1.0,2.0,671.509482135514
231,-23.566419999999933,-46.53939999999994,117.0,4.0,2.0,0.0,3.0,996.0952208960211
232,-23.56227999999993,-46.57889999999998,110.0,3.0,4.0,1.0,2.0,1008.1376229564169
233,-23.536029999999986,-46.575439999999965,100.0,4.0,3.0,0.0,1.0,689.0189524405566
234,-23.54056999999995,-46.67235999999997,157.0,3.0,3.0,0.0,2.0,1219.7369192573387
235,-23.560009999999977,-46.64522999999997,60.0,2.0,2.0,0.0,1.0,458.77611222144776
236,-23.55958999999996,-46.60380999999995,130.0,4.0,4.0,1.0,4.0,1422.0002380349297
237,-23.511519999999962,-46.65628999999996,100.0,3.0,2.0,0.0,2.0,824.4043790858958
238,-23.58875999999998,-46.74200999999994,60.0,2.0,1.0,0.0,1.0,431.73680672079377
239,-23.66795782421381,-46.72328950825807,78.0,3.0,2.0,0.0,1.0,577.7560812224824
240,-23.633269999999985,-46.737009999999934,100.0,2.0,2.0,1.0,1.0,742.9262008460382
241,-23.53236999999996,-46.73612999999993,158.0,3.0,5.0,3.0,2.0,1467.1691653130656
242,-23.54056999999995,-46.67235999999997,144.0,3.0,2.0,0.0,2.0,1073.956984228976
243,-23.572349999999968,-46.66084999999998,194.0,4.0,3.0,0.0,2.0,1401.6236009404743
244,-23.477769999999968,-46.643279999999955,59.0,2.0,1.0,0.0,1.0,381.038703887534
245,-23.496889999999947,-46.604109999999935,86.0,2.0,2.0,1.0,1.0,604.4669095464134
246,-23.496889999999947,-46.604109999999935,57.0,2.0,2.0,0.0,1.0,424.0036665049406
247,-23.591439999999977,-46.54539999999997,75.0,3.0,2.0,0.0,2.0,628.7279144735744
248,-23.571609999999968,-46.63329999999996,65.0,2.0,2.0,0.0,1.0,480.0143062964561
249,-23.478879999999947,-46.591169999999984,120.0,3.0,2.0,0.0,3.0,1056.6650081820378
250,-23.545229999999947,-46.659749999999974,240.0,3.0,3.0,0.0,2.0,1670.904658777259
251,-23.627669999999966,-46.62440999999996,130.0,3.0,4.0,3.0,3.0,1333.1062669277649
252,-23.552779999999927,-46.75146999999998,65.0,3.0,1.0,0.0,1.0,449.9681061212789
253,-23.558429999999927,-46.47725999999993,47.0,2.0,1.0,0.0,1.0,229.62667675791545
254,-23.512149999999966,-46.71814999999998,96.0,2.0,3.0,0.0,2.0,922.4433948968389
255,-23.535919999999976,-46.65774999999997,350.0,4.0,5.0,2.0,4.0,2757.1970811480633
256,-23.535919999999976,-46.65774999999997,210.0,4.0,3.0,1.0,1.0,1356.9322523193323
257,-23.605479999999947,-46.69489999999996,93.0,3.0,3.0,0.0,1.0,722.6298453397721
258,-23.47441999999995,-46.63478999999995,86.0,3.0,2.0,0.0,2.0,737.8289841665808
259,-23.489039999999928,-46.58327999999993,60.0,2.0,2.0,1.0,1.0,451.0516042883768
260,-23.529849999999954,-46.71808999999996,170.0,3.0,2.0,1.0,2.0,1260.9650000085596
261,-23.47441999999995,-46.63478999999995,78.0,3.0,2.0,1.0,2.0,714.3052924069768
262,-23.587209999999967,-46.77169999999995,55.0,2.0,1.0,0.0,1.0,418.9706721909271
263,-23.560009999999977,-46.64522999999997,110.0,3.0,3.0,0.0,1.0,793.2618289509833
264,-23.608239999999967,-46.557649999999974,64.0,3.0,2.0,1.0,1.0,440.9583267298025
